x	y	spp1	var1	var2
-23.52549019	64.8891558	0	128	125
-22.52549019	66.3891558	0	111	115
-22.52549019	65.8891558	0	117	104
-22.02549019	64.8891558	0	94	130
-22.02549019	65.8891558	0	103	110
-21.52549019	65.8891558	0	92	120
-21.52549019	64.8891558	0	97	124
-21.52549019	65.3891558	0	98	115
-21.02549019	65.3891558	0	97	118
-21.02549019	64.8891558	0	105	116
-21.02549019	64.3891558	0	112	121
-20.52549019	65.3891558	0	98	121
-20.52549019	64.8891558	0	115	107
-20.52549019	64.3891558	0	129	106
-20.02549019	65.8891558	0	89	120
-20.02549019	65.3891558	0	105	109
-20.02549019	64.3891558	0	127	122
-20.02549019	64.8891558	0	128	94
-20.02549019	63.8891558	0	142	125
-19.52549019	65.3891558	0	107	109
-19.52549019	64.8891558	0	143	75
-19.52549019	64.3891558	0	143	106
-19.52549019	63.8891558	0	161	102
-19.02549019	65.8891558	0	87	121
-19.02549019	65.3891558	0	111	104
-19.02549019	64.8891558	0	131	101
-19.02549019	64.3891558	0	143	115
-19.02549019	63.8891558	0	171	96
-18.52549019	65.8891558	0	98	99
-18.52549019	65.3891558	0	106	114
-18.52549019	64.8891558	0	148	76
-18.52549019	64.3891558	0	152	108
-18.52549019	63.8891558	0	166	120
-18.02549019	65.8891558	0	75	135
-18.02549019	65.3891558	0	100	125
-18.02549019	64.8891558	0	135	104
-18.02549019	64.3891558	0	162	97
-18.02549019	63.8891558	0	171	131
-17.52549019	65.8891558	0	103	93
-17.52549019	65.3891558	0	119	97
-17.52549019	64.8891558	0	146	88
-17.52549019	63.8891558	0	169	134
-17.52549019	64.3891558	0	173	79
-17.02549019	65.8891558	0	91	120
-17.02549019	65.3891558	0	114	112
-17.02549019	64.8891558	0	161	68
-17.02549019	64.3891558	0	170	89
-16.52549019	65.8891558	0	111	94
-16.52549019	65.3891558	0	123	104
-16.52549019	64.8891558	0	156	81
-16.52549019	64.3891558	0	187	59
-16.02549019	66.3891558	0	93	110
-16.02549019	65.8891558	0	113	102
-16.02549019	65.3891558	0	131	100
-16.02549019	64.8891558	0	158	86
-16.02549019	64.3891558	0	173	90
-15.52549019	65.8891558	0	127	88
-15.52549019	65.3891558	0	144	89
-15.52549019	64.8891558	0	162	86
-15.52549019	64.3891558	0	165	108
-15.02549019	65.8891558	0	133	91
-15.02549019	65.3891558	0	148	94
-15.02549019	64.8891558	0	168	84
-14.52549019	65.3891558	0	157	89
-14.52549019	64.8891558	0	172	87
-14.02549019	65.3891558	0	166	85
-14.02549019	64.8891558	0	172	94
-9.525490185	53.8891558	0	135	179
-9.525490185	52.3891558	0	156	187
-9.525490185	51.8891558	0	180	174
-9.025490185	39.3891558	0	116	228
-9.025490185	38.8891558	0	123	260
-9.025490185	53.8891558	0	131	183
-9.025490185	52.8891558	0	137	187
-9.025490185	52.3891558	0	157	179
-9.025490185	51.8891558	0	161	181
-8.525490185	37.8891558	0	84	287
-8.525490185	37.3891558	0	85	273
-8.525490185	38.3891558	0	91	293
-8.525490185	38.8891558	0	97	291
-8.525490185	39.3891558	0	103	275
-8.525490185	53.3891558	0	115	188
-8.525490185	52.8891558	0	116	193
-8.525490185	52.3891558	0	122	188
-8.525490185	39.8891558	0	122	262
-8.525490185	53.8891558	0	123	182
-8.525490185	51.8891558	0	129	189
-8.525490185	40.3891558	0	132	251
-8.525490185	54.3891558	0	137	179
-8.525490185	41.8891558	0	185	237
-8.525490185	42.8891558	0	212	229
-8.025490185	38.3891558	0	83	310
-8.025490185	37.8891558	0	84	303
-8.025490185	37.3891558	0	89	289
-8.025490185	38.8891558	0	94	301
-8.025490185	39.3891558	0	104	299
-8.025490185	53.3891558	0	108	187
-8.025490185	53.8891558	0	113	182
-8.025490185	39.8891558	0	122	297
-8.025490185	52.3891558	0	126	186
-8.025490185	52.8891558	0	139	177
-8.025490185	54.3891558	0	140	178
-8.025490185	43.3891558	0	140	237
-8.025490185	40.3891558	0	146	290
-8.025490185	40.8891558	0	162	268
-8.025490185	41.3891558	0	167	265
-8.025490185	54.8891558	0	176	166
-8.025490185	41.8891558	0	187	257
-8.025490185	42.8891558	0	198	244
-8.025490185	42.3891558	0	220	232
-7.525490185	37.8891558	0	80	314
-7.525490185	38.3891558	0	85	314
-7.525490185	38.8891558	0	89	309
-7.525490185	53.3891558	0	90	189
-7.525490185	37.3891558	0	95	286
-7.525490185	39.3891558	0	96	317
-7.525490185	52.8891558	0	103	191
-7.525490185	53.8891558	0	109	184
-7.525490185	39.8891558	0	114	316
-7.525490185	52.3891558	0	141	185
-7.525490185	43.3891558	0	146	235
-7.525490185	54.8891558	0	151	166
-7.525490185	42.3891558	0	151	262
-7.525490185	54.3891558	0	156	176
-7.525490185	42.8891558	0	159	245
-7.525490185	41.3891558	0	172	291
-7.525490185	40.3891558	0	174	280
-7.525490185	41.8891558	0	180	243
-7.525490185	40.8891558	0	183	275
-7.025490185	38.8891558	0	75	332
-7.025490185	38.3891558	0	75	325
